,Datetime,RA,DEC,APmag,S-brt,delta,deldot,S-O-T /r,S-T-O,Sky_motion,Sky_mot_PA,RelVel-ANG,Lun_Sky_Brt,sky_SNR,time_from_start,Month,Year,Day,pca,residuals
8292,2024-12-11 12:00:00,24.566041666666667,12.43286111111111,-11.47,4.493,0.00244670921665,-0.0134861,127.6681 /T,52.2192,36.259761,64.238129,-0.716993,n.a.,n.a.,29851200.0,12,2024,11,2.732195236059528,1.049497336078585e-05
3470,2024-05-24 14:00:00,253.80166666666668,-26.879527777777778,-12.34,3.722,0.00258711705465,-0.0410973,167.1628 /L,12.805,32.60336,98.692885,-2.302733,n.a.,n.a.,12492000.0,5,2024,24,-1.3263705647179391,-3.193237045682291e-05
3110,2024-05-09 14:00:00,65.83729166666667,25.81041666666667,-5.964,6.361,0.00249061035963,0.0555697,19.6509 /T,160.3017,35.106384,77.64457,3.0044049,n.a.,n.a.,11196000.0,5,2024,9,2.0550315197250413,-4.948430883127894e-05
4496,2024-07-06 08:00:00,111.31016666666666,26.993166666666667,-4.558,5.357,0.0025968048047,0.0448939,6.7229 /T,173.2601,32.366645,99.230473,2.5245491,n.a.,n.a.,16185600.0,7,2024,6,1.2734491192709063,-2.6653526827217448e-05
6699,2024-10-06 03:00:00,225.817125,-20.9695,-7.201,6.270,0.00269272542542,-0.0267644,36.4607 /T,143.4475,30.004177,109.88612,-1.574429,n.a.,n.a.,24116400.0,10,2024,6,-0.8280031738692404,3.927060007060052e-05
5524,2024-08-18 04:00:00,306.87775,-22.112333333333332,-12.203,3.942,0.00245870002327,-0.0545306,157.5788 /T,22.368,35.994032,73.727411,-2.912946,n.a.,n.a.,19886400.0,8,2024,18,-2.229772548469802,-5.740179342548189e-05
60,2024-01-03 12:00:00,185.31241666666668,0.8332222222222222,-10.315,5.050,0.00269211780812,-0.0269008,97.0436 /L,82.8008,29.795968,118.19139,-1.588467,n.a.,n.a.,216000.0,1,2024,3,-0.07199479703015606,1.685959045587748e-05
3769,2024-06-06 01:00:00,66.84058333333333,25.976027777777777,-4.728,5.509,0.00250391133312,0.0404846,7.5304 /L,172.4509,34.788997,78.265615,2.1962834,n.a.,n.a.,13568400.0,6,2024,6,2.038152194114666,-3.839730840304997e-05
768,2024-02-02 00:00:00,208.78770833333334,-12.905916666666666,-10.464,4.985,0.00266531857058,-0.0457323,100.9038 /L,78.9442,30.404713,115.28237,-2.671922,n.a.,n.a.,2764800.0,2,2024,2,-0.5130407368247398,-1.671237141620107e-06
8261,2024-12-10 05:00:00,7.83,3.913638888888889,-10.948,4.811,0.00246164459739,-0.0257264,110.4559 /T,69.4099,35.75065,61.783275,-1.383374,n.a.,n.a.,29739600.0,12,2024,10,2.9986955160973325,7.437169748052402e-05
790,2024-02-02 22:00:00,219.45704166666667,-16.32686111111111,-10.122,5.174,0.00263816664649,-0.0566004,90.6153 /L,89.2314,31.021303,112.42097,-3.274599,n.a.,n.a.,2844000.0,2,2024,2,-0.7061033861412173,-2.1280766689805216e-05
974,2024-02-10 14:00:00,333.30241666666666,-14.996833333333333,-5.11,5.757,0.00239397507097,-0.0044088,9.6130 /T,170.364,37.990385,65.599431,-0.235458,n.a.,n.a.,3506400.0,2,2024,10,-2.6671330466548375,-5.3496219141025304e-05
7499,2024-11-08 11:00:00,309.91325,-21.01097222222222,-9.776,5.383,0.00254517564202,-0.0547195,80.1728 /T,99.6822,33.390805,72.398977,-3.050105,n.a.,n.a.,26996400.0,11,2024,8,-2.2792705691741784,3.622583745549121e-05
